	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_5plus_only_first	pct_5plus_first	pct_5plus_second	pct_5plus_tot
4792	2021-09-20	Northwest Territories	NT	68757	33302	35455	271.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4793	2021-09-21	Northwest Territories	NT	68757	33302	35455	0.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4794	2021-09-22	Northwest Territories	NT	68757	33302	35455	0.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4795	2021-09-23	Northwest Territories	NT	68757	33302	35455	0.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4796	2021-09-24	Northwest Territories	NT	68757	33302	35455	0.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4797	2021-09-25	Northwest Territories	NT	68757	33302	35455	0.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4798	2021-09-26	Northwest Territories	NT	68757	33302	35455	0.0	2153	4.807949977668602	79.17597141581064	74.36802143814202	153.54399285395266	5.15046942115111	84.8164855210927	79.6660160999416	164.48250162103432
4799	2021-09-27	Northwest Territories	NT	69242	33588	35158	-297.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4800	2021-09-28	Northwest Territories	NT	69242	33588	35158	0.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4801	2021-09-29	Northwest Territories	NT	69242	33588	35158	0.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4802	2021-09-30	Northwest Territories	NT	69242	33588	35158	0.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4803	2021-10-01	Northwest Territories	NT	69242	33588	35158	0.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4804	2021-10-02	Northwest Territories	NT	69242	33588	35158	0.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4805	2021-10-03	Northwest Territories	NT	69242	33588	35158	0.0	1570	3.5060294774452885	78.51272889682895	75.00669941938365	154.62706565430997	3.7557998101287704	84.10599345510019	80.35019364497143	165.6427327725709
4806	2021-10-04	Northwest Territories	NT	70449	33850	35901	743.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4807	2021-10-05	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4808	2021-10-06	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4809	2021-10-07	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4810	2021-10-08	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4811	2021-10-09	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4812	2021-10-10	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4813	2021-10-11	Northwest Territories	NT	70449	33850	35901	0.0	2051	4.5801697186243855	80.17195176418043	75.59178204555606	157.3224653863332	4.9064620449516605	85.88341973467068	80.97695768971901	168.53015339093105
4814	2021-10-12	Northwest Territories	NT	71370	34209	36163	262.0	1954	4.363555158552925	80.75703439035283	76.39347923179992	159.3791871371148	4.674415814644342	86.5101837794183	81.83576796477395	170.73339646426135
4815	2021-10-13	Northwest Territories	NT	71370	34209	36163	0.0	1954	4.363555158552925	80.75703439035283	76.39347923179992	159.3791871371148	4.674415814644342	86.5101837794183	81.83576796477395	170.73339646426135
4816	2021-10-14	Northwest Territories	NT	71370	34209	36163	0.0	1954	4.363555158552925	80.75703439035283	76.39347923179992	159.3791871371148	4.674415814644342	86.5101837794183	81.83576796477395	170.73339646426135
4817	2021-10-15	Northwest Territories	NT	71370	34209	36163	0.0	1954	4.363555158552925	80.75703439035283	76.39347923179992	159.3791871371148	4.674415814644342	86.5101837794183	81.83576796477395	170.73339646426135
4818	2021-10-16	Northwest Territories	NT	71370	34209	36163	0.0	1954	4.363555158552925	80.75703439035283	76.39347923179992	159.3791871371148	4.674415814644342	86.5101837794183	81.83576796477395	170.73339646426135
4819	2021-10-17	Northwest Territories	NT	71370	34209	36163	0.0	1954	4.363555158552925	80.75703439035283	76.39347923179992	159.3791871371148	4.674415814644342	86.5101837794183	81.83576796477395	170.73339646426135
4820	2021-10-18	Northwest Territories	NT	72553	34492	36403	240.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4821	2021-10-19	Northwest Territories	NT	72553	34492	36403	0.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4822	2021-10-20	Northwest Territories	NT	72553	34492	36403	0.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4823	2021-10-21	Northwest Territories	NT	72553	34492	36403	0.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4824	2021-10-22	Northwest Territories	NT	72553	34492	36403	0.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4825	2021-10-23	Northwest Territories	NT	72553	34492	36403	0.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4826	2021-10-24	Northwest Territories	NT	72553	34492	36403	0.0	1911	4.267530147387227	81.29298794104511	77.02545779365788	162.02099151406878	4.5715499599720255	87.08431878224052	82.5127688222685	173.56340358233928
4827	2021-10-25	Northwest Territories	NT	75161	34788	36743	340.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4828	2021-10-26	Northwest Territories	NT	75161	34788	36743	0.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4829	2021-10-27	Northwest Territories	NT	75161	34788	36743	0.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4830	2021-10-28	Northwest Territories	NT	75161	34788	36743	0.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4831	2021-10-29	Northwest Territories	NT	75161	34788	36743	0.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4832	2021-10-30	Northwest Territories	NT	75161	34788	36743	0.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4833	2021-10-31	Northwest Territories	NT	75161	34788	36743	0.0	1955	4.365788298347477	82.0522554711925	77.68646717284501	167.84502009825815	4.676808043822768	87.89767670290534	83.22086865908258	179.80233727967422
4834	2021-11-01	Northwest Territories	NT	78565	35070	36975	232.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4835	2021-11-02	Northwest Territories	NT	78565	35070	36975	0.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4836	2021-11-03	Northwest Territories	NT	78565	35070	36975	0.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4837	2021-11-04	Northwest Territories	NT	78565	35070	36975	0.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4838	2021-11-05	Northwest Territories	NT	78565	35070	36975	0.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4839	2021-11-06	Northwest Territories	NT	78565	35070	36975	0.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4840	2021-11-07	Northwest Territories	NT	78565	35070	36975	0.0	1905	4.25413130861992	82.57034390352837	78.31621259490844	175.44662795891023	4.55719658490147	88.45267387230018	83.8954772873987	187.9454854030362
4841	2021-11-08	Northwest Territories	NT	82006	35402	37212	237.0	1810	4.041983028137562	83.09959803483699	79.05761500669942	183.1308619919607	4.329934812951002	89.01963218758712	84.68969737463613	196.17714600599996
